X,Y,X,Y,NRO,RAMO_O_C,TIPO,DATOS,IMAGEN,NROCOMP,CANAL,CODIGOCOMP,RAMO,CALLE,CANAL_PPAL,OBSERVACIO,icon_url
-68.272145,-31.755164,"2569050","6487246","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0160.gif,,,"0",,Calle 4,Canal 2da. Seccion,Descargador al Dren Calle 22,
-68.264525,-31.756426,"2569771","6487093","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0162.gif,,,"0",,Calle 4,Canal 2da. Seccion,Compuerta Frente a Bga.,
-68.258255,-31.757577,"2570337","6486991","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0075.gif,,,"0",,Calle 4,Canal 2da. Seccion,Inicio Ramo Calle 23,
-68.251947,-31.758642,"2570961","6486854","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0166.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.245372,-31.759784,"2571588","6486728","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0168.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.236085,-31.76144,"2572007","6486647","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0169.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.235945,-31.761279,"2572013","6486645","0",Desde Canal 2da. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\segunda seccion\000_0171.gif,,,"0",,Calle 4,Canal 2da. Seccion,,
-68.336358,-31.696459,"2563008","6493782","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0056.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,,
-68.327438,-31.698006,"2563850","6493625","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0057.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,Inicio Ramo Calle 17,
-68.317735,-31.69961,"2564769","6493426","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0059.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,,
-68.314167,-31.700289,"2565096","6493354","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0060.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,Inicio Ramo Calle 18,
-68.307184,-31.701429,"2565768","6493218","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0061.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,,
-68.301617,-31.702493,"2566312","6493104","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0062.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,Inicio Ramos Calle 19 y 20,
-68.274302,-31.707141,"2568876","6492564","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0063.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,Inicio Ramo Calle 21,
-68.267848,-31.708342,"2569492","6492427","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0064.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,,
-68.260859,-31.709519,"2570128","6492293","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0065.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,Inicio Ramo Calle 22,
-68.247836,-31.711769,"2571385","6492023","0",Desde Canal 1ra. Seccion,,,e:\hidraulica\compuertas-ramos\25 de mayo\primera seccion\000_0066.gif,,,"0",,Calle Divisoria,Canal 1ra. Seccion,Inicio Ramo Calle 23 - Fin de Canal,
-68.336442,-31.696344,"2562988","6493814","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0273.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.336472,-31.696439,"2562983","6493779","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0275.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.339434,-31.705093,"2562684","6492839","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0277.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.339708,-31.706082,"2562657","6492726","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0279.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.340176,-31.707308,"2562594","6492559","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0280.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.340228,-31.707535,"2562598","6492555","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0281.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.346382,-31.718462,"2562021","6491328","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0282.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.346373,-31.718358,"2562031","6491338","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0283.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.348709,-31.727638,"2561814","6490336","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0285.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.349083,-31.729955,"2561759","6490078","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0286.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.349068,-31.730029,"2561763","6490066","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0287.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.350054,-31.734318,"2561665","6489600","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0288.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
